Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
189,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"369,216",9.023,0.86367
190,CANADIAN MEDICAL ASSOCIATION JOURNAL,"10,718",9.015,0.02936
190,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,"10,008",9.015,0.03053
192,AGEING RESEARCH REVIEWS,"1,542",9,0.00565
192,INTERNATIONAL REVIEW OF CYTOLOGY-A SURVEY OF CELL BIOLOGY,"3,523",9,0.00607
194,LEUKEMIA,"16,938",8.966,0.06422
195,DIABETES,"43,893",8.889,0.1241
196,NATURAL PRODUCT REPORTS,"4,775",8.881,0.01372
197,EUROPEAN UROLOGY,"13,748",8.843,0.04691
198,BRAIN RESEARCH REVIEWS,"8,556",8.842,0.0248
199,EMBO Molecular Medicine,324,8.833,0.00228
200,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,"2,994",8.82,0.01592
201,HUMAN REPRODUCTION UPDATE,"4,791",8.755,0.01398
202,MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,"2,370",8.741,0.00649
203,PHARMACOLOGY & THERAPEUTICS,"9,574",8.694,0.02996
204,Nature Clinical Practice Oncology,"1,757",8.676,0.01198
205,BIOLOGICAL PSYCHIATRY,"32,972",8.674,0.10461
206,ADVANCES IN COLLOID AND INTERFACE SCIENCE,"5,820",8.66,0.0123
207,Annual Review of Public Health,"3,144",8.609,0.00987
207,Annual Review of Public Health,"3,144",8.609,0.00987
209,Oceanography and Marine Biology,"2,082",8.571,0.00303
210,Advances in Microbial Physiology,895,8.556,0.00138
211,ADVANCED FUNCTIONAL MATERIALS,"22,516",8.508,0.11097
212,CURRENT OPINION IN BIOTECHNOLOGY,"8,209",8.486,0.02501
213,TRENDS IN ENDOCRINOLOGY AND METABOLISM,"4,730",8.479,0.01602
214,ARTHRITIS AND RHEUMATISM,"44,602",8.435,0.10795
215,Nature Protocols,"9,988",8.362,0.08455
216,MOLECULAR & CELLULAR PROTEOMICS,"11,909",8.354,0.05771
217,SEMINARS IN IMMUNOLOGY,"3,230",8.337,0.01638
218,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,"27,747",8.288,0.0913
219,SCHIZOPHRENIA BULLETIN,"8,966",8.273,0.02794
